Event,Date,result,matchtype,time,win1,win2,win3,win4,win5,win6,lose1,lose2,lose3,lose4,lose5,lose6,lose7,lose8
AEW Fyter Fest,29.06.2019,Cody (w/Brandi Rhodes) vs. Darby Allin - Time Limit Draw (20:00),draw,(20:00),Cody,,,,,,Darby Allin,,,,,,,
AEW Dark #56,13.10.2020,Brandon Cutler vs. Peter Avalon - Double DQ,draw,(7:27),Brandon Cutler,,,,,,Peter Avalon,,,,,,,
AEW Dark #52,15.09.2020,Brandon Cutler vs. Peter Avalon - Double Count Out ,draw,(6:45),Brandon Cutler,,,,,,Peter Avalon,,,,,,,
AEW Dynamite #4,23.10.2019,Jon Moxley vs. PAC - Time Limit Draw (12:10),draw,(12:10),Jon Moxley,,,,,,PAC,,,,,,,
AEW Dynamite #55 - Anniversary Show,14.10.2020,Cody (w/Arn Anderson & Brandi Rhodes) (c) vs. Orange Cassidy - Time Limit Draw (20:00),draw,(20:00),Cody,,,,,,Orange Cassidy,,,,,,,
AEW Dynamite #12,18.12.2019,Chris Jericho (w/Jake Hager) vs. Jungle Boy (w/Luchasaurus & Marko Stunt) - Time Limit Draw (10:00),draw,(10:00),Chris Jericho,,,,,,Jungle Boy,,,,,,,
AEW Dynamite #85,12.05.2021,Orange Cassidy vs. PAC - Double KO (14:02),draw,(14:02),PAC,,,,,,Orange Cassidy,,,,,,,
AEW Dynamite #103 - Grand Slam,22.09.2021,Bryan Danielson vs. Kenny Omega (w/Don Callis) - Time Limit Draw (30:00),draw,(30:00),Bryan Danielson,,,,,,Kenny Omega,,,,,,,
